cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval,,,15 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,20 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,25 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval
PANCREAS acinar cells,60.24,48,36,PANCREAS - exocrine glandular cells,62.75,0.00049975,0.037481259,PANCREAS - exocrine glandular cells,62.75,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259
CONNECTIVE TISSUE adipocyte progenitor cells,25.3,23,5,PLACENTA - trophoblastic cells,55,0.107446277,1,ADIPOSE TISSUE - adipocytes,15,1,1,,,,0.107446277,1,1,1,,,,0.013993003,1,1,1,,,,0.004497751,0.332833583,0.143428286,1
CONNECTIVE TISSUE adipocytes,25.5,116,41,PLACENTA - trophoblastic cells,25.5,0.028985507,1,ADIPOSE TISSUE - adipocytes,24.25,0.0009995,0.083958021,,,,0.028985507,1,0.0009995,0.083958021,,,,0.087456272,1,0.00049975,0.04197901,,,,0.12093953,1,0.0009995,0.083958021
BRAIN adrenergic neurons,10.72,8,3.166666667,ADRENAL GLAND - medullary cells,67,0.030484758,1,CAUDATE - neuronal projections,17,1,1,,,,0.030484758,1,1,1,,,,0.113443278,1,1,1,,,,0.122938531,1,1,1
LUNG airway epithelial cells,5.36,4,3,ESOPHAGUS - squamous epithelial cells,67,0.034982509,1,LUNG - pneumocytes,41.25,1,1,,,,0.034982509,1,1,1,,,,0.04147926,1,1,1,,,,0.178410795,1,0.103448276,1
LUNG airway goblet cells,27.25,25,15,STOMACH - glandular cells,54.5,0.00049975,0.036981509,LUNG - pneumocytes,11.5,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,0.255372314,1,,,,0.00049975,0.036981509,0.030484758,1
SMOOTH MUSCLE airway smooth muscle cells,8,4,0,BREAST - myoepithelial cells,100,0.012493753,0.899550225,SMOOTH MUSCLE - smooth muscle cells,100,0.035482259,1,,,,0.012493753,0.899550225,0.035482259,1,,,,0.029485257,1,0.064467766,1,,,,0.03848076,1,0.090954523,1
PANCREAS alpha cells,34.8,48,19.83333333,PANCREAS - islets of Langerhans,36.25,0.00049975,0.042478761,PANCREAS - islets of Langerhans,36.25,0.00049975,0.042478761,,,,0.00049975,0.042478761,0.00049975,0.042478761,,,,0.00049975,0.046476762,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762
LUNG alveolar macrophages,20.7,23,11,LUNG - macrophages,45,0.011494253,1,LUNG - macrophages,45,0.011494253,1,,,,0.011494253,1,0.011494253,1,,,,0.005997001,0.527736132,0.005997001,0.527736132,,,,0.0009995,0.086956522,0.0009995,0.086956522
BRAIN anterior pituitary gland cells,35.31,33,13.16666667,PITUITARY GLAND - cells in anterior ,53.5,1,1,PITUITARY GLAND - cells in anterior ,53.5,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1
