"cell_type","conf_score","proteins_used","top_10_avg_prot_tested","top_result","top_enrich","top_pval","top_adj_pval","top_tiss_result","top_tiss_enrich","top_tiss_pval","top_tiss_adj_pval"
"PANCREAS acinar cells",60.24,48,36,"PANCREAS - exocrine glandular cells",62.75,0.000499750124937531,0.0374812593703148,"PANCREAS - exocrine glandular cells",62.75,0.000499750124937531,0.0374812593703148
"CONNECTIVE TISSUE adipocyte progenitor cells",25.3,23,5,"PLACENTA - trophoblastic cells",55,0.0139930034982509,1,"ADIPOSE TISSUE - adipocytes",15,1,1
"CONNECTIVE TISSUE adipocytes",25.5,116,41,"PLACENTA - trophoblastic cells",25.5,0.087456271864068,1,"ADIPOSE TISSUE - adipocytes",24.25,0.000499750124937531,0.0419790104947526
"BRAIN adrenergic neurons",10.72,8,3.16666666666667,"ADRENAL GLAND - medullary cells",67,0.11344327836082,1,"CAUDATE - neuronal projections",17,1,1
"LUNG airway epithelial cells",5.36,4,3,"ESOPHAGUS - squamous epithelial cells",67,0.0414792603698151,1,"LUNG - pneumocytes",41.25,1,1
"LUNG airway goblet cells",27.25,25,15,"STOMACH - glandular cells",54.5,0.000499750124937531,0.0369815092453773,"LUNG - pneumocytes",11.5,0.255372313843078,1
"SMOOTH MUSCLE airway smooth muscle cells",8,4,0,"BREAST - myoepithelial cells",100,0.0294852573713143,1,"SMOOTH MUSCLE - smooth muscle cells",100,0.0644677661169415,1
"PANCREAS alpha cells",34.8,48,19.8333333333333,"PANCREAS - islets of Langerhans",36.25,0.000499750124937531,0.0464767616191904,"PANCREAS - islets of Langerhans",36.25,0.000499750124937531,0.0464767616191904
"LUNG alveolar macrophages",20.7,23,11,"LUNG - macrophages",45,0.00599700149925037,0.527736131934033,"LUNG - macrophages",45,0.00599700149925037,0.527736131934033
"BRAIN anterior pituitary gland cells",35.31,33,13.1666666666667,"PITUITARY GLAND - cells in anterior ",53.5,1,1,"PITUITARY GLAND - cells in anterior ",53.5,1,1
"BRAIN astrocytes",28.25,63,35,"CEREBRAL CORTEX - glial cells",28.25,0.000999500249875062,0.0839580209895052,"CEREBRAL CORTEX - glial cells",28.25,0.000999500249875062,0.0839580209895052
"IMMUNE SYSTEM b cells",59.5,89,51.5,"TONSIL - non-germinal center cells",59.5,0.000499750124937531,0.0374812593703148,"TONSIL - non-germinal center cells",59.5,0.000499750124937531,0.0374812593703148
"IMMUNE SYSTEM b cells memory",5.775,5,2.83333333333333,"LYMPH NODE - non-germinal center cells",57.75,0.00249875062468766,0.182408795602199,"LYMPH NODE - non-germinal center cells",57.75,0.00249875062468766,0.182408795602199
"IMMUNE SYSTEM basophils",11.6,20,6.83333333333333,"CEREBELLUM - cells in molecular layer",29,0.214392803598201,1,"TONSIL - squamous epithelial cells",10.5,1,1
"BRAIN bergmann glia",27.88,41,23,"CEREBRAL CORTEX - neuropil",34,0.000499750124937531,0.0369815092453773,"CEREBRAL CORTEX - neuropil",34,0.000499750124937531,0.0369815092453773
"PANCREAS beta cells",48.75,50,23,"PANCREAS - islets of Langerhans",48.75,0.000499750124937531,0.0454772613693153,"PANCREAS - islets of Langerhans",48.75,0.000499750124937531,0.0454772613693153
"BRAIN cajal-retzius cells",41.75,77,24,"CEREBRAL CORTEX - neuronal cells",41.75,0.00149925037481259,0.112443778110945,"CEREBRAL CORTEX - neuronal cells",41.75,0.00149925037481259,0.112443778110945
"HEART MUSCLE cardiac stem and precursor cells",14.22,18,7,"HEART MUSCLE - myocytes",39.5,0.00199900049975012,0.147926036981509,"HEART MUSCLE - myocytes",39.5,0.00199900049975012,0.147926036981509
"HEART MUSCLE cardiomyocytes",66,104,60,"HEART MUSCLE - myocytes",66,0.000499750124937531,0.0389805097451274,"HEART MUSCLE - myocytes",66,0.000499750124937531,0.0389805097451274
"LIVER cholangiocytes",50.82,42,30.8333333333333,"GALLBLADDER - glandular cells",60.5,0.000499750124937531,0.0369815092453773,"LIVER - bile duct cells",15,0.00599700149925037,0.395802098950525
