tissue_cell,proteins,detected,det_o_test,amount_tested
ENDOMETRIUM - glandular cells,17091,11304,0.661400737,"greater than 15,000"
ENDOMETRIUM - cells in endometrial stroma,16523,6733,0.407492586,"greater than 15,000"
STOMACH - glandular cells,16242,12016,0.739810368,"greater than 15,000"
SOFT TISSUE - fibroblasts,15386,6860,0.445859873,"greater than 15,000"
SOFT TISSUE - peripheral nerve,13794,5669,0.410975787,"between 701-15,000"
DUODENUM - glandular cells,13343,9642,0.722626096,"between 701-15,000"
TESTIS - Leydig cells,13343,9232,0.691898374,"between 701-15,000"
HEART MUSCLE - myocytes,13342,7949,0.595787738,"between 701-15,000"
KIDNEY - cells in tubules,13342,9780,0.733023535,"between 701-15,000"
LIVER - hepatocytes,13341,7138,0.535042351,"between 701-15,000"
PLACENTA - trophoblastic cells,13341,8528,0.639232441,"between 701-15,000"
SMOOTH MUSCLE - smooth muscle cells,13341,6744,0.505509332,"between 701-15,000"
SPLEEN - cells in red pulp,13341,6392,0.479124503,"between 701-15,000"
THYROID GLAND - glandular cells,13340,8900,0.667166417,"between 701-15,000"
LUNG - pneumocytes,13339,6269,0.469975261,"between 701-15,000"
CEREBRAL CORTEX - endothelial cells,13338,5798,0.434697856,"between 701-15,000"
CEREBRAL CORTEX - glial cells,13338,5972,0.44774329,"between 701-15,000"
CEREBRAL CORTEX - neuronal cells,13338,8318,0.623631729,"between 701-15,000"
SMALL INTESTINE - glandular cells,13336,9633,0.722330534,"between 701-15,000"
SKELETAL MUSCLE - myocytes,13334,7331,0.54979751,"between 701-15,000"
HIPPOCAMPUS - glial cells,13332,4956,0.371737174,"between 701-15,000"
KIDNEY - cells in glomeruli,13332,6269,0.470222022,"between 701-15,000"
PANCREAS - exocrine glandular cells,13329,8626,0.647160327,"between 701-15,000"
ADRENAL GLAND - glandular cells,13327,9221,0.691903654,"between 701-15,000"
CEREBRAL CORTEX - neuropil,13326,6334,0.475311421,"between 701-15,000"
FALLOPIAN TUBE - glandular cells,13325,9141,0.686003752,"between 701-15,000"
LUNG - macrophages,13325,8464,0.635196998,"between 701-15,000"
SALIVARY GLAND - glandular cells,13324,8502,0.638096668,"between 701-15,000"
TONSIL - non-germinal center cells,13322,7327,0.549992494,"between 701-15,000"
CAUDATE - glial cells,13317,5511,0.413831944,"between 701-15,000"
HIPPOCAMPUS - neuronal cells,13317,7638,0.573552602,"between 701-15,000"
OVARY - ovarian stroma cells,13315,4800,0.360495682,"between 701-15,000"
CEREBELLUM - cells in molecular layer,13304,5978,0.449338545,"between 701-15,000"
ESOPHAGUS - squamous epithelial cells,13299,8277,0.622377622,"between 701-15,000"
PROSTATE - glandular cells,13296,8224,0.618531889,"between 701-15,000"
COLON - glandular cells,13292,9428,0.709298826,"between 701-15,000"
CEREBELLUM - cells in granular layer,13291,6233,0.468963961,"between 701-15,000"
CEREBELLUM - Purkinje cells,13291,7652,0.575727936,"between 701-15,000"
GALLBLADDER - glandular cells,13282,9570,0.720524017,"between 701-15,000"
RECTUM - glandular cells,13282,9509,0.715931336,"between 701-15,000"
LYMPH NODE - non-germinal center cells,13275,7290,0.549152542,"between 701-15,000"
EPIDIDYMIS - glandular cells,13263,9048,0.682198598,"between 701-15,000"
URINARY BLADDER - urothelial cells,13260,9043,0.681975867,"between 701-15,000"
APPENDIX - glandular cells,13258,8999,0.678759994,"between 701-15,000"
LIVER - bile duct cells,13258,4829,0.364232916,"between 701-15,000"
SPLEEN - cells in white pulp,13254,5180,0.390825411,"between 701-15,000"
ADIPOSE TISSUE - adipocytes,13250,4896,0.369509434,"between 701-15,000"
VAGINA - squamous epithelial cells,13250,7368,0.556075472,"between 701-15,000"
BONE MARROW - hematopoietic cells,13222,7922,0.599152927,"between 701-15,000"
SKIN - keratinocytes,13210,7594,0.574867525,"between 701-15,000"
SKIN - Langerhans,13204,5841,0.44236595,"between 701-15,000"
SKIN - melanocytes,13200,6783,0.513863636,"between 701-15,000"
BREAST - glandular cells,13199,8358,0.63322979,"between 701-15,000"
ORAL MUCOSA - squamous epithelial cells,13190,7688,0.582865807,"between 701-15,000"
BREAST - myoepithelial cells,13186,7094,0.537994843,"between 701-15,000"
TONSIL - germinal center cells,13175,7175,0.54459203,"between 701-15,000"
SKIN - epidermal cells,13157,8378,0.6367713,"between 701-15,000"
SKIN - fibroblasts,13133,6023,0.458615701,"between 701-15,000"
CAUDATE - neuronal cells,13115,7600,0.579489135,"between 701-15,000"
SEMINAL VESICLE - glandular cells,13100,8456,0.645496183,"between 701-15,000"
BREAST - adipocytes,13091,3376,0.257887098,"between 701-15,000"
COLON - endothelial cells,13088,7218,0.551497555,"between 701-15,000"
TONSIL - squamous epithelial cells,12970,8182,0.630840401,"between 701-15,000"
