"cell_type","percent_high_expression","percent_medium_expression","percent_low_expression","number_of_proteins","enriched_score","p_val","p_val_adj"
"PANCREAS - exocrine glandular cells",0.6,0.2,0,5,70,"< 0.005","0.03798"
"PANCREAS - exocrine glandular cells",0.6,0.2,0,5,70,"< 0.005","0.03798"
"PITUITARY GLAND - cells in anterior ",0.2,0,0,1,20,"1.00000","1.00000"
"PITUITARY GLAND - cells in anterior ",0.2,0,0,1,20,"1.00000","1.00000"
"DUODENUM - glandular cells",0,0.2,0,5,10,"0.37631","1.00000"
"DUODENUM - glandular cells",0,0.2,0,5,10,"0.37631","1.00000"
"SMALL INTESTINE - glandular cells",0,0.2,0,5,10,"0.38081","1.00000"
"SMALL INTESTINE - glandular cells",0,0.2,0,5,10,"0.38081","1.00000"
"melanoma",0.0714,0.0179,0.0714,5,9.82,"NA","NA"
"COLON - glandular cells",0,0,0.2,5,5,"0.23288","1.00000"
"COLON - glandular cells",0,0,0.2,5,5,"0.23288","1.00000"
"PANCREAS - islets of Langerhans",0,0,0.2,5,5,"0.09295","1.00000"
"PANCREAS - islets of Langerhans",0,0,0.2,5,5,"0.09295","1.00000"
"urothelial cancer",0.0357,0.0179,0,5,4.465,"NA","NA"
"glioma",0,0.0351,0.0877,5,3.9475,"NA","NA"
"head and neck cancer",0,0.0526,0.0526,5,3.945,"NA","NA"
"thyroid cancer",0,0.0556,0,5,2.78,"NA","NA"
"testis cancer",0,0.0377,0.0189,5,2.3575,"NA","NA"
"ovarian cancer",0,0.0357,0,5,1.785,"NA","NA"
"pancreatic cancer",0,0.0189,0,5,0.945,"NA","NA"
"liver cancer",0,0,0.0179,5,0.4475,"NA","NA"
"ADIPOSE TISSUE - adipocytes",0,0,0,5,0,"1.00000","1.00000"
"ADIPOSE TISSUE - adipocytes",0,0,0,5,0,"1.00000","1.00000"
"ADRENAL GLAND - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"ADRENAL GLAND - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"APPENDIX - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"APPENDIX - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"APPENDIX - lymphoid tissue",0,0,0,5,0,"1.00000","1.00000"
"APPENDIX - lymphoid tissue",0,0,0,5,0,"1.00000","1.00000"
"BONE MARROW - hematopoietic cells",0,0,0,5,0,"0.62669","1.00000"
"BONE MARROW - hematopoietic cells",0,0,0,5,0,"0.62669","1.00000"
"BREAST - adipocytes",0,0,0,5,0,"1.00000","1.00000"
"BREAST - adipocytes",0,0,0,5,0,"1.00000","1.00000"
"BREAST - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"BREAST - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"BREAST - myoepithelial cells",0,0,0,5,0,"1.00000","1.00000"
"BREAST - myoepithelial cells",0,0,0,5,0,"1.00000","1.00000"
"BRONCHUS - respiratory epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"BRONCHUS - respiratory epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"CAUDATE - glial cells",0,0,0,5,0,"1.00000","1.00000"
"CAUDATE - glial cells",0,0,0,5,0,"1.00000","1.00000"
"CAUDATE - neuronal cells",0,0,0,5,0,"0.66717","1.00000"
"CAUDATE - neuronal cells",0,0,0,5,0,"0.66717","1.00000"
"CEREBELLUM - cells in granular layer",0,0,0,5,0,"1.00000","1.00000"
"CEREBELLUM - cells in granular layer",0,0,0,5,0,"1.00000","1.00000"
"CEREBELLUM - cells in molecular layer",0,0,0,5,0,"1.00000","1.00000"
"CEREBELLUM - cells in molecular layer",0,0,0,5,0,"1.00000","1.00000"
"CEREBELLUM - Purkinje cells",0,0,0,5,0,"1.00000","1.00000"
"CEREBELLUM - Purkinje cells",0,0,0,5,0,"1.00000","1.00000"
"CEREBRAL CORTEX - endothelial cells",0,0,0,5,0,"1.00000","1.00000"
"CEREBRAL CORTEX - endothelial cells",0,0,0,5,0,"1.00000","1.00000"
"CEREBRAL CORTEX - glial cells",0,0,0,5,0,"1.00000","1.00000"
"CEREBRAL CORTEX - glial cells",0,0,0,5,0,"1.00000","1.00000"
"CEREBRAL CORTEX - neuronal cells",0,0,0,5,0,"0.66467","1.00000"
"CEREBRAL CORTEX - neuronal cells",0,0,0,5,0,"0.66467","1.00000"
"CEREBRAL CORTEX - neuropil",0,0,0,5,0,"0.66417","1.00000"
"CEREBRAL CORTEX - neuropil",0,0,0,5,0,"0.66417","1.00000"
"CERVIX, UTERINE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"CERVIX, UTERINE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"CERVIX, UTERINE - squamous epithelial cells",0,0,0,4,0,"1.00000","1.00000"
"CERVIX, UTERINE - squamous epithelial cells",0,0,0,4,0,"1.00000","1.00000"
"COLON - endothelial cells",0,0,0,5,0,"1.00000","1.00000"
"COLON - endothelial cells",0,0,0,5,0,"1.00000","1.00000"
"COLON - peripheral nerve/ganglion",0,0,0,4,0,"1.00000","1.00000"
"COLON - peripheral nerve/ganglion",0,0,0,4,0,"1.00000","1.00000"
"ENDOMETRIUM - cells in endometrial stroma",0,0,0,5,0,"1.00000","1.00000"
"ENDOMETRIUM - cells in endometrial stroma",0,0,0,5,0,"1.00000","1.00000"
"ENDOMETRIUM - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"ENDOMETRIUM - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"EPIDIDYMIS - glandular cells",0,0,0,4,0,"1.00000","1.00000"
"EPIDIDYMIS - glandular cells",0,0,0,4,0,"1.00000","1.00000"
"ESOPHAGUS - squamous epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"ESOPHAGUS - squamous epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"FALLOPIAN TUBE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"FALLOPIAN TUBE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"GALLBLADDER - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"GALLBLADDER - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"HEART MUSCLE - myocytes",0,0,0,5,0,"1.00000","1.00000"
"HEART MUSCLE - myocytes",0,0,0,5,0,"1.00000","1.00000"
"HIPPOCAMPUS - glial cells",0,0,0,5,0,"1.00000","1.00000"
"HIPPOCAMPUS - glial cells",0,0,0,5,0,"1.00000","1.00000"
"HIPPOCAMPUS - neuronal cells",0,0,0,5,0,"1.00000","1.00000"
"HIPPOCAMPUS - neuronal cells",0,0,0,5,0,"1.00000","1.00000"
"KIDNEY - cells in glomeruli",0,0,0,5,0,"1.00000","1.00000"
"KIDNEY - cells in glomeruli",0,0,0,5,0,"1.00000","1.00000"
"KIDNEY - cells in tubules",0,0,0,5,0,"0.64118","1.00000"
"KIDNEY - cells in tubules",0,0,0,5,0,"0.64118","1.00000"
"LIVER - bile duct cells",0,0,0,5,0,"1.00000","1.00000"
"LIVER - bile duct cells",0,0,0,5,0,"1.00000","1.00000"
"LIVER - hepatocytes",0,0,0,5,0,"1.00000","1.00000"
"LIVER - hepatocytes",0,0,0,5,0,"1.00000","1.00000"
"LUNG - macrophages",0,0,0,5,0,"1.00000","1.00000"
"LUNG - macrophages",0,0,0,5,0,"1.00000","1.00000"
"LUNG - pneumocytes",0,0,0,5,0,"1.00000","1.00000"
"LUNG - pneumocytes",0,0,0,5,0,"1.00000","1.00000"
"LYMPH NODE - germinal center cells",0,0,0,5,0,"1.00000","1.00000"
"LYMPH NODE - germinal center cells",0,0,0,5,0,"1.00000","1.00000"
"LYMPH NODE - non-germinal center cells",0,0,0,5,0,"1.00000","1.00000"
"LYMPH NODE - non-germinal center cells",0,0,0,5,0,"1.00000","1.00000"
"NASOPHARYNX - respiratory epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"NASOPHARYNX - respiratory epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"ORAL MUCOSA - squamous epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"ORAL MUCOSA - squamous epithelial cells",0,0,0,5,0,"1.00000","1.00000"
"OVARY - follicle cells",0,0,0,4,0,"1.00000","1.00000"
"OVARY - follicle cells",0,0,0,4,0,"1.00000","1.00000"
"OVARY - ovarian stroma cells",0,0,0,5,0,"1.00000","1.00000"
"OVARY - ovarian stroma cells",0,0,0,5,0,"1.00000","1.00000"
"PARATHYROID GLAND - glandular cells",0,0,0,4,0,"1.00000","1.00000"
"PARATHYROID GLAND - glandular cells",0,0,0,4,0,"1.00000","1.00000"
"PITUITARY GLAND - cells in posterior ",0,0,0,1,0,"1.00000","1.00000"
"PITUITARY GLAND - cells in posterior ",0,0,0,1,0,"1.00000","1.00000"
"PLACENTA - decidual cells",0,0,0,4,0,"1.00000","1.00000"
"PLACENTA - decidual cells",0,0,0,4,0,"1.00000","1.00000"
"PLACENTA - trophoblastic cells",0,0,0,5,0,"1.00000","1.00000"
"PLACENTA - trophoblastic cells",0,0,0,5,0,"1.00000","1.00000"
"PROSTATE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"PROSTATE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"RECTUM - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"RECTUM - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"SALIVARY GLAND - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"SALIVARY GLAND - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"SEMINAL VESICLE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"SEMINAL VESICLE - glandular cells",0,0,0,5,0,"1.00000","1.00000"
"SKELETAL MUSCLE - myocytes",0,0,0,5,0,"1.00000","1.00000"
"SKELETAL MUSCLE - myocytes",0,0,0,5,0,"1.00000","1.00000"
"SKIN - epidermal cells",0,0,0,5,0,"1.00000","1.00000"
"SKIN - epidermal cells",0,0,0,5,0,"1.00000","1.00000"
"SKIN - fibroblasts",0,0,0,5,0,"1.00000","1.00000"
"SKIN - fibroblasts",0,0,0,5,0,"1.00000","1.00000"
"SKIN - keratinocytes",0,0,0,5,0,"1.00000","1.00000"
"SKIN - keratinocytes",0,0,0,5,0,"1.00000","1.00000"
"SKIN - Langerhans",0,0,0,5,0,"1.00000","1.00000"
"SKIN - Langerhans",0,0,0,5,0,"1.00000","1.00000"
"SKIN - melanocytes",0,0,0,5,0,"1.00000","1.00000"
"SKIN - melanocytes",0,0,0,5,0,"1.00000","1.00000"
"SMOOTH MUSCLE - smooth muscle cells",0,0,0,5,0,"1.00000","1.00000"
"SMOOTH MUSCLE - smooth muscle cells",0,0,0,5,0,"1.00000","1.00000"
"SOFT TISSUE - chondrocytes",0,0,0,3,0,"1.00000","1.00000"
"SOFT TISSUE - chondrocytes",0,0,0,3,0,"1.00000","1.00000"
"SOFT TISSUE - fibroblasts",0,0,0,5,0,"1.00000","1.00000"
"SOFT TISSUE - fibroblasts",0,0,0,5,0,"1.00000","1.00000"
"SOFT TISSUE - peripheral nerve",0,0,0,5,0,"1.00000","1.00000"
"SOFT TISSUE - peripheral nerve",0,0,0,5,0,"1.00000","1.00000"
"SPLEEN - cells in red pulp",0,0,0,5,0,"1.00000","1.00000"
